CUSTOMERID,STATE,LCPCOUNT,PRIVATELABELTENDERFLAG,TENURE_IN_MONTHS,CLOSESTSTOREDISTANCE,FEMALE,AGE,HS_DIPLOMA,SOME_COLLEGE,BACH_GRAD_DEG,LT_HS_DIPLOMA,MARRIED,MNGMNT_OFFICEADMIN,TECH_PROF,SALES_JOB,BLUE_COLLAR,FARMER,RETIRED,SFDU,MFDU,HOMEOWNER,INCOME,MAIL_RESP_MULTI,MAIL_RESP_SINGLE,LENGTH OF RESIDENCE,NUMBER OF PERSONS IN LIVING UNIT,NUMBER OF ADULTS IN LIVING UNIT,METRO,URBAN,MOR BANK: UPSCALE MERCHANDISE BUYER,MOR BANK: MALE MERCHANDISE BUYER,MOR BANK: FEMALE MERCHANDISE BUYER,MOR BANK: CRAFTS-HOBBY MERCHANDISE BUYER,MOR BANK: GARDENING-FARMING BUYER,MOR BANK: BOOK BUYER,MOR BANK: COLLECT-SPECIAL FOODS BUYER,MOR BANK: GIFTS AND GADGETS BUYER,MOR BANK: GENERAL MERCHANDISE BUYER,MOR BANK: FAMILY AND GENERAL MAGAZINE,MOR BANK: FEMALE ORIENTED MAGAZINE,MOR BANK: MALE SPORTS MAGAZINE,MOR BANK: RELIGIOUS MAGAZINE,MOR BANK: GARDENING-FARMING MAGAZINE,MOR BANK: CULINARY INTERESTS MAGAZINE,MOR BANK: HEALTH AND FITNESS MAGAZINE,MOR BANK: DO-IT-YOURSELFERS,MOR BANK: NEWS AND FINANCIAL,MOR BANK: PHOTOGRAPHY,MOR BANK: OPPORTUNITY SEEKERS AND CE,MOR BANK: RELIGIOUS CONTRIBUTOR,MOR BANK: POLITICAL CONTRIBUTOR,MOR BANK: HEALTH AND INSTITUTION CONTRIBUTOR,MOR BANK: GENERAL CONTRIBUTOR,MOR BANK: MISCELLANEOUS,MOR BANK: ODDS AND ENDS,MOR BANK: DEDUPED CATEGORY HIT COUNT,MOR BANK: NON-DEDUPED CATEGORY HIT COUNT,MORTGAGE-HOME PURCHASE: HOME PURCHASE PRICE,MOSAIC,CHILDREN,CAPE: AGE: POP: MEDIAN AGE,CAPE: AGE: POP: % 0-17,CAPE: AGE: POP: % 18-99+,CAPE: AGE: POP: % 65-99+,CAPE: ETHNIC: POP: % WHITE ONLY,CAPE: ETHNIC: POP: % BLACK ONLY,CAPE: ETHNIC: POP: % ASIAN ONLY,CAPE: ETHNIC: POP: % HISPANIC,CAPE: DENSITY: PERSONS PER HH FOR POP IN HH,CAPE: HHSIZE: HH: AVERAGE HOUSEHOLD SIZE,CAPE: TYP: HH: % MARRIED COUPLE FAMILY,CAPE: CHILD: HH: % WITH PERSONS LT18,CAPE: CHILD: HH: % MARR COUPLE FAMW- PERSONS LT18,CAPE: CHILD: HH: % MARR COUPLE FAMW-O PERSONS LT18,CAPE: LANG: HH: % SPANISH SPEAKING,CAPE: EDUC: POP25+: MEDIAN EDUCATION ATTAINED,CAPE: HOMVAL: OOHU: MEDIAN HOME VALUE,CAPE: BUILT: HU: MEDIAN HOUSING UNIT AGE,CAPE: TENANCY: OCCHU: % OWNER OCCUPIED,CAPE: TENANCY: OCCHU: % RENTER OCCUPIED,CAPE: EDUC: ISPSA,CAPE: EDUC: ISPSA DECILE,CAPE: INC: FAMILY INC STATE DECILE,CAPE: INC: HH: MEDIAN FAMILY HOUSEHOLD INCOME,FREQUENCY,QUANTITY,TOTALSALES,FREQUENCY_2Y,QUANTITY_2Y,TOTALSALES_2Y,1-Engagement Spend,2-Wedding Bands Spend,3-Fashion Diamonds Spend,4-Fashion Jewelry Spend,5-Close Out Spend,6-Promotional Items Spend,7-Cost Only Spend,8-Marketing Premium SKUs Spend,9-Repairs & Appraisals Spend,10-Pre Owned Spend,11-Watches Spend,12-Misc Merchandise Spend,15-Store Events Spend,16-Single Stone Jewelry Spend,MDAYREV_L1Y,MDAYREV_L2Y,MDAYREV_L3Y,MDAYREV_L4Y,MDAYQTY_L1Y,MDAYQTY_L2Y,MDAYQTY_L3Y,MDAYQTY_L4Y,MDAYSHOPPER_L1Y,MDAYSHOPPER_L2Y,MDAYSHOPPER_L3Y,MDAYSHOPPER_L4Y
13697,NE,1,N,205,4.461684992,0,,0,0,0,0,0,0,0,0,0,0,0,1,0,1,106250,0,0,12,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,H28,0,29,34,66,1.1,63.9,18.1,9,5,2.8,2.8,62.3,47,35.4,26.9,3.5,12.9,162272,17,94.6,5.4,3696,6,6,83018,1,1,299.99,1,1,299.99,0,299.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13698,NE,1,N,11,102.587775,0,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,38750,0,0,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N47,0,37,27.4,72.6,18.5,86.1,0,0.1,23.8,2.63,2.63,57.2,35.6,24.6,32.5,10.8,12,141388,55,73.4,26.6,3271,2,3,67956,1,1,399.99,1,1,399.99,0,0,0,399.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13699,MO,4,N,-5,87.19738917,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M44,0,,,,,,,,,,,,,,,,,,,,,,,,,2,4,6045.4,2,4,6045.4,4839.25,1206.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13700,MO,1,N,48,3.474376893,0,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,17500,0,0,12,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S71,0,39,12.7,87.3,14.3,83.9,8,1.4,3.7,1.54,1.54,8.5,9.8,2.5,6,3,11.8,61249,48,3.9,96.1,2555,0,0,20713,1,1,599.99,0,0,0,0,0,599.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13701,SC,1,Y,29,67.47753969,1,35,0,0,1,0,0,0,0,0,0,0,0,1,0,1,81250,0,0,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,O51,0,45,18.5,81.5,20.7,76.8,21.1,0.6,0.6,2.47,2.47,55.1,29.6,22.3,32.8,0.6,11.9,120126,41,81.7,18.3,3321,4,4,62694,1,1,899.99,0,0,0,0,899.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13702,SC,3,Y,80,1.407493919,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,1,1,509.99,1,1,509.99,0,0,509.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13703,AZ,1,N,9,12.16938113,0,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D17,0,31,31.9,68.1,7.2,75.4,5.2,5.5,31.1,3.11,3.11,63.9,52.6,39.7,24.2,13.3,13.3,268457,13,73.9,26.1,3986,7,7,94272,1,1,89.99,1,1,89.99,0,0,0,0,89.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13704,TX,2,N,4,3.156300872,0,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,0,16,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,C11,0,43,21.2,78.8,13.2,77.4,9.3,5.6,13.5,2.96,2.96,68.8,36.9,28.5,40.3,10.8,13.7,197058,33,87.5,12.5,4097,8,7,108392,1,1,1529,1,1,1529,0,0,0,1529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13705,TX,1,N,47,8.975902992,0,,0,0,0,0,0,0,0,0,0,0,0,1,0,1,156250,0,0,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,597,A03,0,33,29.2,70.8,3.6,52.5,33.9,5,14.6,2.77,2.77,60,47.5,37.7,22.4,5.3,13.7,280891,8,57.3,42.7,4312,8,8,129765,1,1,1529,0,0,0,0,1529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13706,TX,1,N,85,5.189997466,0,63,0,0,1,0,0,0,1,0,0,0,0,1,0,1,81250,0,0,9,8,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,C11,0,34,31.8,68.2,7.6,58.6,25.3,7.9,14.9,3.26,3.26,73.7,53.9,45.6,28.1,10.9,13.1,204458,15,89.8,10.2,3990,7,6,94568,1,1,149.99,0,0,0,0,0,0,149.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
